tweets,label
RT @RileyNixon_: bout to get butt fucked !!! https://t.co/5ho3r7keZh,abusive
@roaringsoftly i will go to bat for you!!! what the hell is wrong with people!! also ily,abusive
"RT @THESLUMPGOD: I Sampled Jaws 

Pull Up With The Pistol Make A Nigga Look So Dam Sick Like He Seen A Bitch With 3 Titts https://t.co/64YC…",hateful
You know what happens to people that trust a pathological liar? They get fucked over! Repeatedly! https://t.co/eSPcGAYeSx,abusive
"RT @Sixteen_digits: Police holds me. Anoda police ask ""officer weytin him do"" he replies D idiot pis for here. D oda says hold d idiot mak…",abusive
",😂 LMFAOOOOOOOOOOOOOOOO pathetic ass bitches https://t.co/9GM8SRY4vl",abusive
RT @Stafaa__: I hate them hoe ass braids 😂🙌🏾 https://t.co/fr5gMyp4rJ,abusive
RT @arianam0lina: if you litter you're a bitch &amp; i hate you,hateful
💀 yk them hoes ugly sis. 🤦🏽‍♀️ https://t.co/OA9aQ6LN7G,abusive
"We miss yo ugly sid the the Sloth , dur yes dur saying ass too https://t.co/v6sTVEhH2n",abusive
"Up at 2am, still sick, dr. Pissing me off, ugh it's almost spring break, I just wanna be well!😢whine,sniffle,cough,cry!😠",normal
"sis....i'm fuckin sick. i'm done with it, it's 11 now https://t.co/Ed4Bowmlro",abusive
RT @JDfromNY206: I DONT KNOW WHAT TO SAY!!!! I HAVE FUCKING GOOSEBUMPS!!!! #SDLive #SDLiveAfterMania,abusive
Something is deeply wrong with him! That and the LYING! Scare the hell out of me.. https://t.co/Q7ucdx4eEH,normal
Fuck You And Die: An Oral History of Something Awful,abusive
"RT @fawfulfan: Go fuck yourself, @SenJohnMcCain. You can't whine about the dreadful consequences of something AS YOU VOTE FOR IT. #NuclearO…",abusive
"Hate watching an interview &amp; I hear ""like"" a fucking million times",abusive
RT @Duhhitsswinkelz: I walk around my school untouchable &amp; all the bitches that don't like me just sit around and hate 😆💁🏽,abusive
Court and Duncan are fucking miserable tonight #MKR,abusive
RT @shaterly_xo: And idiots spend $8.99 for a bag of skittles. https://t.co/vLLaoj61jF,abusive
"Yang susah itu yang disini (dada;hati), that ugly feeling can stay for who knows how damn long.-Melbourne",normal
RT @OlgaLycett: One thing I hate about spring/summer is the bloody birds waking me up at 6am. It's like world war 3 out there🙃,abusive
MY FUCKING GOD @shanemcmahon DON'T DIE!! Backflips like a cruiserweight in his prime at 47!! 😳😳 #Wrestlemania,abusive
I'm moving to Texas. It's some bad bitches out there.,abusive
Why Praise Can Be Bad for Kids - ABC News - https://t.co/XT7l0E10ra via @ABC,normal
Theres a difference between marketing and being fucking annoying,abusive
"RT @peace_moin: &amp; some idiots of my country think and this regime is working to bring UNIFORM CIVIL CODE.
Let them bring UNIFORM BEEF CONSU…",abusive
"He would not have won if the DNC knew what the hell they were doing. It's too bad if saying that hurts feelings, but Trump's gotta go",hateful
"RT @GunnerStaal: ""You see we should have traded Letang, he's always hurt""

            - Idiots",hateful
RT @JustCallHerKii: WTF !!! #LHHATL  just got juicy OMG she fuckin with her boss husband 😶😶😶,abusive
I hate when people get up here and tell what happening on a TV show or Movie... Shut yo ass up 😂,hateful
@DibsOnTheGibbs At least outline the plot and shiz for when you have time!!! Your audience needs you!,normal
@claireginther but let's talk about that sick ass table,abusive
RT @syeoga: Hella is from the bay....and majority of LA bitches hate on the word hella 😂😩 https://t.co/9vmoO3Lnb7,abusive
"Oh, yes he is a bad guy. 

It's so damn sickening https://t.co/2ZrFqgBrz5",abusive
"#ANCYL there this idiot of cosas speaking, i think hate speech will come out of his speech if he doesnt stop.",abusive
"I'm baffled and disgusted, who raised these bitches mann 😖😩",abusive
RT @Boobie24Dixon: Hail Fucking State!!! https://t.co/Lkm1jQd2uF,abusive
RT @CaseyBerry99: Bullying people is so lame &amp; terrible. It's 2017 have you people not noticed that it's a fucked up thing to do???????????…,abusive
RT @DickMorrisTweet: Schumer Filibuster Of Gorsuch Is Idiotic - Lunch Alert! https://t.co/kvnzCSK5tX @SenSchumer @TheDemocrats @HouseDemocr…,abusive
Nasty ass eating food @_JWEAVE_ @Mcj_da_great https://t.co/EqsAzUrRbh,abusive
RT @Shae_Amoure: Mf's be having me fucked up ALLL the time !🤦🏽‍♀️,abusive
RT @siarah_: that's an ugly ass house to be paying $5mil for https://t.co/dHZXE0dl1i,abusive
RT @sobermongeau: you know when youre fucking stupid and get one question in math correct and think ur albert fucking einstein because me t…,abusive
"RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP",abusive
"RT @OnlyLookAtMino: [!!] WINNER trending on Melon Search at #1 😍

#위너_4일4시_음원공개 https://t.co/jNwkUlTrPC",normal
"RT @OnlyLookAtMino: [!!] WINNER trending on Melon Search at #1 😍

#위너_4일4시_음원공개 https://t.co/jNwkUlTrPC",normal
Watching this annoying ass man makes me want to never eat another pizza...... #my600lblife tlc,abusive
"@BasedBananaSama Just block him. . .

He's fucking dreadful.",abusive
"RT @JJTheNoonas: [INFO] 170403 Jinyoung spotted at Han river with gagman Lee SeungYoon!
cr.nct_mark0621&amp;코코 체리
https://t.co/v0EQBMGAJY
https…",normal
It's always the filthy bitch that comes in the picture.. 🤦🏽‍♂️,abusive
I worry about this all of the time.   If the Nazis turn away from him it might not be as bad as I fear it will be.… https://t.co/BTmeimEEMQ,normal
Niggas worst than your side bitch always questioning they position,hateful
"RT @TPThompson2: Who will be the 1st #gop rep to find some guts and stand up to the idiot in the WH? #FireTheFool 
https://t.co/VQz1YvHxHO",abusive
too bad i ain't packing like that banana 😞💔 https://t.co/gyWnhy62o7,normal
@CraigHazell You are a fucking legend mate. Balls of steel!,abusive
"when guys talk to me I just wanna go sleep, boring ass conversation",abusive
RT @SQUlDZ: Look at this fuckin retard https://t.co/nZePcMiZn0,abusive
@ProWLegacy @TennesseeHoney_ can you count its 1-3 idiot💯,abusive
@Louis91Tom_ Omg I can't believe someone would wish that on anyone never mind a baby the sick bitch,abusive
RT @cleveionn: my head so nasty i thought that was a vagina 😂 https://t.co/ZNq9FVVFWU,abusive
RT @FunnyPicsDepot: RT if you still hate this nigga 😂 https://t.co/S4QirK9MnV,hateful
"@JesonthePage ugh, crippling self doubt is THE WORST.",normal
Quit fucking spamming me with this crap it don't work https://t.co/AjQxhEKk2t,abusive
RT @charli_xcx: the number 1 angel shows are gonna be fucking wiiiiild!! @brookecandy opening in SF &amp; NY with @CupcakKe_rapper joining in N…,abusive
"@sanacardi @letat_lechat Sanders said ""I'm sick of talking about your damned emails""",abusive
@jimmcelwainshat @_SuperAngiee R u dump or u r too stupid idiot,abusive
If someone heard mine and Macie's convo in Applebees they'd think we were idiots 😂😂😂,normal
RT @SarahPlayfair: Pip is an idiot - and needs to tell the truth...... and why didn't she realise before? #thearchers,abusive
Rick James fucking hated Prince (who I have pledged all of my allegiance to) but it doesn't keep me from appreciating James' eccentricities.,abusive
RT @okamlord: I fucking hate you https://t.co/DEzJoO66A2,abusive
RT @fromvallejo: son this nigga is the worst https://t.co/IYTehCEPea,abusive
RT @SlumLordPo: It's the FUCKING #REDEMPTIONTOUR !!!! GO FUCKING HEELS https://t.co/Wwm92Cmwtj,abusive
@HeyMisfit She does &amp; tori is an idiot for taking it all the time,hateful
RT @EiramAydni: Im a nasty ass freak when I like you..,abusive
@MozzyThaMotive gotta make the @XXL freshman this year or everyone retarded,abusive
I just want Gordon Ramsay to call me an idiot sandwich,abusive
Fuck u @reliancejio ur 4g network from today is worst than @VodafoneIN @airtelindia @idea 's 2g network😌😌😌,abusive
I recorded a video and I look  stupid as hell lmaoo,abusive
RT @hagusP: @gabriella_t15 I FUCKING KNOW!!!!!!! I was like.... WTF??????? https://t.co/CBLkGsNeOZ,abusive
@FoxNews @KellyannePolls @POTUS She has a way with words... for an idiot,abusive
RT @StevenDakai: Are you stupid it's bc Russ has done it 40 Fuckin times https://t.co/mUyAqI1BSu,abusive
WHY IS MY FUCKING WINDSCREEN FUCKING FROZEN?! IT'S FUCKING APRIL YOU CUNT!!,abusive
"RT @Seems3r: What the hell is wrong with these JNU types ??
They know how to distract when it's time to focus on studies !! https://t.co/TA…",abusive
RT @PatrickLenton: @PatrickLenton while bandits and dragons still attack my dog while i'm bloody mining ore and building a goddamn solarium…,abusive
"I'm watching GM interviews and FUCK WHY IS HE GONE , WHY?!?!?!?!?!?! https://t.co/7z9uCDDqQ2",abusive
@Record_Sport This will bite him on the arse stupid thing to do.,abusive
Ugly bad built ass bitch I would've slapped tf out her. https://t.co/IZhStsmT1A,abusive
Would this brainless retard that claims to be my father just hurry up and die¿¿¿?¿???¿??¿?¿?,abusive
"RT @Ciennanicolee: I'M A BAD BITCH, HOE U CAN'T KILL ME",abusive
"Line from this #film 
""I don't take orders from a fucking woman!"" 
- https://t.co/Rf4P2NCJEd https://t.co/Du7TlROFtU",hateful
"JAP Battle (EXPLICIT) - ""Crazy Ex-Girlfriend"" https://t.co/65vwI3oOL4

Awe Snap, Scarsdale!!! https://t.co/65vwI3oOL4",hateful
"RT @WestHamMatters: I can see the headlines now...

""No service for Andy Carroll at The Vodafone Stadium tonight"".

Can't fucking wait!",normal
Hate girls that be all up on my mans notifications but when he tweets about me you bitches are no where to be found 😂,abusive
RT @kindslut: i literally over analyze everything it's so fucking annoying. you can be taking a nap and in my head i'll think we're growing…,abusive
hacked stop leaving your twitter up 2 fucking school idiot,abusive
Titanfall 2 - SALTBALL. GRAPPLE. RONIN. | Music by Iniquity https://t.co/XbLxu9nQjx via @YouTube shits sick dude! @iNiQu1TY,abusive
"RT @ImmortalDixon: HOLY FUCK DID THEY JIST THROW MICHONNE!?!?

IF MICHONNE DIES, WE RIOT!
#TheWalkingDead #TWDFinale",abusive
@pepsi No need to apologize because some people are too retarded to see your message of positivity and to trying to unite us.,hateful
"IM SO FUCKING PISSED!!! I HATE YOU TRUMP, I WANTED TO START WW3",hateful
"#DesiPorn,#ManDingo,#AsianButts,#Aunty,#MatureMoms: Ugly Slut With Bushy Clam Gangbanged Brutally https://t.co/5EAjgSlXuF",abusive
"RT @jaackkieeee_: I'll ""@"" them but they too lame , don't even have a twitter @x_redsid you know 😂 , grown ass woman !! 😭 https://t.co/sdWM…",normal
RT @ReutersWorld: Islamic State says U.S. 'being run by an idiot' https://t.co/WIEwDnVrQE,abusive
@eljaverg @RicardoAlemanMx Dude are yuo talking abaut your familia. Yuo look so idiot retard,abusive
@thorsen1nk THAT IS A FUCKING MOVIE! https://t.co/ywG7IZywKk,spam
RT @soldier_777: Justice for Bud- cruel students lit up fire crackers in his mouth! Plz sign: https://t.co/GEMnucSy2K https://t.co/81De4AXo…,hateful
@goldenbvllets Probably because my brothers an idiot 😂😂,abusive
RT @spice_dixie: Yepper...I'm annoying AF...I have a meme for everything. I'm just shitty that way.,abusive
"Look which idiot bought herself DDR4 RAM without owning a DDR4 motherboard 

THIS GENIUS",abusive
@MasonJarvis @RiannePageeX @frankiethedug The fucking man like! Ma maws banned him from the computer that's how he's no been on in a while,abusive
RT @abhijitmajumder: Please don't engage with idiots or let them affect you https://t.co/Dks3VaJKRG,abusive
You a bad bitch don't eva forget that https://t.co/WDx5VJZW3J,abusive
RT @trev_up: I hate when a song reminds me of someone I give 0 fucks about,abusive
"RT @DPRK_News: ""Attack dog"" US media meekly kowtows to Noted Idiot Trump after show of force, like timid piglets cowering before a wolf wit…",abusive
@JJohnsonLaw @intelligencer I wish she would move to Montana so she could be my senator instead of that idiot steve daines,hateful
"RT @YG_WINNER: [🎵] WINNER - FATE NUMBER FOR

Melon https://t.co/hzZj18a4N3
Mnet https://t.co/qUYf336tya
Naver https://t.co/ceJjugsKfd",normal
. So sick of this #altmedia bullshit #fakenews #syriastrikes #syriahoax . . To be WOKE you must 👉 #thinkforyourself… https://t.co/vRG7JmGAgJ,abusive
RT @FunnyPicsDepot: RT if you still hate this nigga 😂 https://t.co/S4QirK9MnV,hateful
@JDfromNY206 Brooooo fuuuuccckkk that submission spot was fucking insane!!,abusive
RT @keeleydaniellex: Actually disgusting how MINGING I look in ANY photo thats not taken by me 🤙🏼😂 catfish 101,normal
You have always been an idiot 🤣 https://t.co/jQoqFaH7Xe,hateful
RT @PrisonPlanet: Join us today on the DC mall for Pussy March 2 against evil fascist dictator Drumpf. #RESISTANCE #NOTMYPRESIDENT #IMWITHH…,hateful
"RT @BBErika_: Hate a nigga that try and run me, ""you can't wear this, you can't go out, you can't chill with them"" likeeeeee is u my man or…",hateful
"RT @th3j35t3r: ISIS: ""US being run by an idiot' 
https://t.co/e64L4uLvmp",abusive
"RT @Cyn_Santana: Yoooooo RISE N GRIND. THERES A BAG OUT THERE, GET THE FUCK UP AND GET TO IT. LETS GO!!!!!",abusive
"Hate wasp and bee season, wasps keep flying into the train and I keep having to change carriage ffs 😩",normal
Talamabout going to dates with your filters. No wonder that nigga was disappointed 😂😂😂😂😂😂😂,hateful
RT @DejaCQQ99: Someone please buy Nelle a one way ticket and put her annoying ass on a train... #GH,abusive
There's always that one idiot in the class! STFU 😒😒,hateful
"Columbian niggas outchea tweaking on TV, getting disgusting for the camera",hateful
"RT @BiafrasayForum: {FLASH} Nigeria Will Die If Govt. Continues To Neglect Niger Delta Region – Delta Cleric, Ajokparoghene: The… https://t…",normal
I put the js on the hoes look clueless I put the Designers on the hoes get stupid #truestory,abusive
Idiots are told by a man what to wear https://t.co/kMVtHTpTJe,abusive
"@MiraPrivate Omg! I can't fucking spell! Muckbang, also, play overwatch",abusive
"@kamaalrkhan 😂😂😂
See who is talking
😂😂😂
krk is himself biggest *hutiya, idiots n frustrated in life.
he put filters… https://t.co/4EsdymRnwf",abusive
"If you don't want my PUPPY jumping on your dog, don't fucking bring him in my yard where MY PUPPY is playing. Stupid bitch.",abusive
RT @sarah131214: So sick of assadists stalking my account piss off blocked! https://t.co/FNpEnY0ab7,abusive
"@cIoudtears They're absolutely fucking pathetic, I need to know what the hell is going on so I can sort out transpo… https://t.co/ekvTudMbHO",abusive
@OfficialSPGB @realDonaldTrump @wwp @WhiteHouse How damn sad is this! A satin on our country!,hateful
RT @TheBloodShow: I'm letting u know now. We not protesting when the laws shoot yo ass for this stupid phone case 😂😂 https://t.co/IcSMsKpCrl,abusive
I'm forever thankful for the people that make stupid ass threads of stuff that makes me crack up,abusive
"RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP",abusive
RT @WORLDSHIPHOP: RT if you still hate this nigga 😂 https://t.co/dnuiVHBfS1,hateful
@Vxrsn @Jultegra_ you should of joined my party when I wanted you bum idiots when you were on those bum accounts,abusive
my snapchat is chaotic evil bc i post videos of me drinking vinegar to piss people off,abusive
"go cry yo ass to sleep , cuz stupid bitch yk he lying !!",abusive
See clapbacks 👏👏👏 may I reach this level of being bad ass 😅 https://t.co/fv0iWHAMYO,abusive
@BriaKelly why the fuck did you let that bitch steal your girl!!! 😡💔,abusive
I wanna hate Tim Tebow so bad but he's the nicest fucking dude in the world.,abusive
RT @TheBloodShow: I'm letting u know now. We not protesting when the laws shoot yo ass for this stupid phone case 😂😂 https://t.co/IcSMsKpCrl,abusive
He called her a pussy. So she retaliates by calling him a bitch? Fighting sexism with sexism? So fucking stupid https://t.co/jHsBPuspBu,abusive
"@realDonaldTrump what the hell made you strike #Syria, &amp; just on suspicion raised by anti-Assad sources? You're as bad as your predecessors",abusive
i hate my cancer moon ass she always makes me fall for scorpios or people with a lot of scorpio influence im tired… https://t.co/PmhRXigVeq,abusive
@realDonaldTrump FUCKING STOP KILLING US IN THE NAME OF PROFITS!,abusive
@Wez_Khalifa99 And once he called me an ungrateful bitch and retarded nigga in an argument. It's how we argued. Now… https://t.co/wu2TgdPhK6,hateful
Layy ugly ass tried to hit me with a joke but why was it so corny. She's like I don't think I wanna be your friend anymore 😂😂,abusive
"RT @_ialiyah: you bitches not friends , y'all just hate alike 😝",hateful
Hate bitches that you gotta ask 200 questions to get to what you looking for 😭,abusive
If you can't make a deal with a politician you're a fucking idiot https://t.co/lxnuKIA7zh,abusive
I really fucking hate u omg D':&lt;!!!! https://t.co/EzjD4xv9p3,hateful
RT @kweenjenn: IF YOU DONT TRUST YOUR GIRLFRIEND OR BOYFRIEND WHY GET IN A FUCKING RELATIONSHIP?!!! 😤😤😤,abusive
RT @Malayna___: Holy fuck !!! 7 years ago 😩😂👐🏼 @_aubbbs @lillkassie https://t.co/vciVMbOeoQ,abusive
I hate a person that assumes shyt like come fucking ask me to clarify I ain't gone lie to you dumbass 🖕🏾,abusive
@RameelAhmad @IKhaulaWalayat @Xadeejournalist IDIOTS boly to....,abusive
"@Freeyourmindkid Hell yes! He thinks all of us are stupid. If he felt bad about the kids in Syria, he should be let… https://t.co/245PTTD76b",hateful
"@Animal_Watch @phil500 @BBCNews @rickygervais 
Hope these evil heartless bastards 
Are found an Jailed 
For Benji pls help
Found them
Update",abusive
Just watched @chicken_film woahhhhh break my fucking heart! RIP Fiona  @Freddie_Machin,spam
RT @DCYOUNGFLY: Since yal want ass shots so bad😂😂😂 http://t.co/NR1lEpyEVd,abusive
RT @nellychillin: THIS NIGGA KD REALLY STUPID. LIKE IM CONVINCED https://t.co/O6iz1l1BDD,hateful
@Kcarlisle9 That's disgusting. Why do people have to be so shitty,abusive
"RT @AshhV_: ""Ash I am disappointed in you bitch"" Nel had me like damn 😂😂😂",abusive
i always feel so nasty after eating ice cream 😹 like damn you indulgent btch.,abusive
"Klavan, u look like s burglar ffs u stupid Estonian cunt",abusive
RT @chevleia: don't hmu when u get tired of ur boring hoe ur boring now too,normal
Islamic State says U.S. 'being run by an idiot' via @Reuters (huh)  https://t.co/MbUK1Cz1t7,hateful
@Freedomzone_ Says the idiot who despite 3 links to a study couldn't find where it took place when they listed the… https://t.co/D9yixduQru,abusive
Frank putting some idiot in his place. https://t.co/DC7Jo2GwFG,abusive
"RT @MagicOfBarca: Exposing Argentina's supposed ""world class"" players.
Messi carried these retards to three consecutive finals. Unbelievabl…",normal
RT @richchigga: hey wassup u bad energy spreading Motherfucker,abusive
@FoxNews @SenJohnMcCain @LindseyGrahamSC McCain and graham are douche bags. Stop talking to those morons!,abusive
Mark Hamill nails Han Solo impression in Star Wars Bad Lip Reading video https://t.co/LtsSTvS7Vn,normal
RT @CrapTaxidermy: Thank fuck its Friday!!! https://t.co/oA1O1zG7Rg,abusive
"#showpussy #liveporn fucking #3some insane #undressed russians

--&gt; https://t.co/uQZekzKb8D https://t.co/UQxvQP7Ls6",abusive
"Hey hey hey guys! TRUMP is the worst, #trump #impeachtrump #FBI #SteveBannon #THETRUTH you all a bunch of fucking i… https://t.co/yUWEhgmx8g",abusive
"hell he rode one in, hes fubama tough !!!! https://t.co/1K1wslnQ1b",abusive
RT @amyshaped: i am the fucking worst when it comes to trying to get that jump shot. https://t.co/Q65Rjr2Tec,abusive
RT @BluntOfLoud: Reason Why These Bitches Secretly Hate Me🤣🤣🤣🤣🤣 https://t.co/ixJD7B4ZDz,abusive
RT @normelanin: normani did u rest? bad bitches needs to,abusive
"@serial_jesus It's awful, I'm in 🇬🇧 and no news station here is covering it! It's their job to cover news regardless ffs. Fucking bastards.",hateful
RT @bestjenmish: [sends Jared a fruit basket] https://t.co/WYMsCmWKhE,normal
RT @randyprine: ISIS spokesman on Trump: The US is 'being run by an idiot' https://t.co/fdgqiNeivv,abusive
"RT @whynyle: it's so annoying when people come up to me show me things on dem phone 

use the fucking SHARE button, so i can ignore ur meme…",abusive
RT @VRitchBitch_x: That bitch is nasty and desperate! We're not all like that!,abusive
RT @niigeriann: Hate dirty bitches that give they 🐱  too everybody ❗️💯,hateful
"RT @mmpadellan: In case anyone forgot, the IDIOT who blamed Obama for today's Syrian chemical attack was AGAINST bombing Syria in 2013, as…",abusive
"RT @doodles088: @Acer please fix @sloanehowell computer. He needs to finish his fuck book Scored. I need it, I gotta have it!!!!! PLEASEEEE…",abusive
RT @Newsweek: ISIS calls Trump an 'idiot' and tells U.S. to await 'bloodbath' in official comments https://t.co/bKfTwwiZEw https://t.co/Kzg…,abusive
@CopTheWorld @_cool_breeze85 @Amiller_79 @amseif19 @Deadlaced @SCOOP208 @CosmicSneaker @Sneakerchief23 this nigga retarded,hateful
The amount of slothy Ass people in Walmart is literally disgusting,abusive
"Maggie didn’t even know Ellis, she was a horrible fucking mother. MIND YO DAMN BUSINESS #GreysAnatomy",abusive
@kathryn_dennis Can't believe Tommy girl reported my post caz I cald him out on being an idiot,abusive
"@defencepk This is called "" CHILD LABOUR "" You IDIOTS !!! 😒",abusive
"RT @OnlyLookAtMino: [!!] Wondering who listens to #WINNER?
According to Melon
People in their 20s followed by 30s
Of which
59.8% = females…",normal
RT @SQUlDZ: This bitch wanna be a penguin so bad https://t.co/pK6YnmXcBS,abusive
Jesus fucking Christ that girls voice is so god damn annoying https://t.co/aZ9J4cx0Mx,abusive
Tee said she FUCKED IT UP for everybody! 😂🙄 https://t.co/ARsokujx4z,abusive
@RichardDawkins You want to be part of something this idiot is in charge of https://t.co/UUAgjigIak,abusive
RT @Recouturee_: need a nigga that like traveling. I hate females and I don't be wanting to go alone .,hateful
FUCKING FLIES - Resident Evil 7: Biohazard #5: https://t.co/pBq2SUVcWG via @YouTube,abusive
I feel bad for some of you hoes mamas! They did not raise u to be the hoe you are today!! 🤦🏾‍♀️,normal
"RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP",abusive
"RT @OnlyLookAtMino: [!!] #WINNER #ReallyReally manages to hit Melon Roof TWICE 🙌🙌
#위너_4일4시_음원공개
#FateNumberFor
💚💜💙💛 https://t.co/G6x2k8H8oT",normal
RT @jstcwarrior: A FUCKING BODY! https://t.co/duuHonfdDo,abusive
BLOODY HELL YES I MISS HIM 😭😭 https://t.co/k2v8u3bPDq,normal
RT @SQUlDZ: Look at this fuckin retard https://t.co/nZePcMiZn0,abusive
"If my dog doesn't ease up to you throughout the time you're here, he's trying to tell me ur an evil mf and to kick ur ass out.
&amp; I listen 💀",abusive
@eimzkavanagh @sturnbull74 @Reuters Are you retarded or something?,hateful
@BadDreamMichael even though I fucking hate Conor for what he did,abusive
@Lewis_Worrall @Troughton_ And your idiots can 😂😂! Come and have a drink we us 🔵⚪🔵⚪,abusive
"i got out of bed @ 4 pm, and all I've done today is sleep. This sickness is kicking my ass so bad.",abusive
RT @swaggmiiyaa: niggas loveeeeeeee the ugly bitches😂🤦🏽‍♀️,abusive
When fucking retards get their hands on editing software..... STOP https://t.co/lHaqseEOcD,abusive
Men on here want to hit women so fucking badly (and JUSTIFY it) and I just don't understand https://t.co/rDNS0aWzlz,abusive
"RT @allure_essence: I'm stingy as fuck with my food, my man, my friends, basically anything that's MINEEEEEE!!!!!!!!!!",abusive
@StFrexit i wonder why you are a fucking stupid nazi asshole,abusive
#scumbag Trudeau the useless idiot PM has to go !!  #Trudeauhastogo #cdnpoli @singofhisgrace https://t.co/PiynO2st5Y,abusive
This video could be terrible and my weave would still be snatched https://t.co/yliPvSPr2d,normal
@seanhannity I think you stupid ass republicans are extremely STUPID!,abusive
I HIT A BIRD THIS MORNING AND IT GOT CAUGHT UNDERNEATH MY CAR CAR AND ALL I HAD TO DO WAS LISTEN TO IT DIE. IT WAS AWFUL,normal
